Variable,Importance,StDev,method,area,week,resp,model
wet_effect,0.11156129351470728,0.02863320821834312,perm_r2,KIL,31,moist_mean,lm
soil_type,0.3129198756548038,0.02387588085771124,perm_r2,KIL,31,moist_mean,lm
pisr_summer_10m,-6.842835518376944e-4,0.0075618789780095425,perm_rmse,KIL,31,moist_mean,lm
twi_luke,0.7593661026260318,0.15119729655050523,perm_rmse,KIL,31,moist_mean,lm
dtw_0_5ha,3.435989448307808e-4,0.0013910904357800743,perm_rmse,KIL,31,moist_mean,lm
tpi20,-6.594699900203338e-4,0.003996732493687196,perm_rmse,KIL,31,moist_mean,lm
tpi500,0.0014162575683460688,0.004049388467883487,perm_rmse,KIL,31,moist_mean,lm
wet_effect,1.1179030091810267,0.1596535512368174,perm_rmse,KIL,31,moist_mean,lm
soil_type,2.7510667635370867,0.33676667024833234,perm_rmse,KIL,31,moist_mean,lm
soil_type,0.28665717642698657,0.02421550829272731,perm_r2,KIL,31,moist_mean,gam
pisr_summer_10m,0.005588135067277122,0.0027192238126431006,perm_r2,KIL,31,moist_mean,gam
twi_luke,0.0728545932136852,0.018823745675002754,perm_r2,KIL,31,moist_mean,gam
dtw_0_5ha,-1.7932451191687848e-4,3.639922268223536e-4,perm_r2,KIL,31,moist_mean,gam
tpi20,3.880053838870745e-4,0.0012306810877780545,perm_r2,KIL,31,moist_mean,gam
tpi500,0.011654620125213844,0.006581530960968645,perm_r2,KIL,31,moist_mean,gam
wet_effect,0.13178855125241867,0.024749703872933865,perm_r2,KIL,31,moist_mean,gam
soil_type,2.6656141164596625,0.4218004696058048,perm_rmse,KIL,31,moist_mean,gam
pisr_summer_10m,0.06246196825928667,0.026051060414643907,perm_rmse,KIL,31,moist_mean,gam
twi_luke,0.6755460877200299,0.14196852077202224,perm_rmse,KIL,31,moist_mean,gam
dtw_0_5ha,0.0022847025555403633,0.005983287509448951,perm_rmse,KIL,31,moist_mean,gam
tpi20,0.0024248066027038107,0.016551538419416128,perm_rmse,KIL,31,moist_mean,gam
tpi500,0.1297014175870462,0.07964226781906303,perm_rmse,KIL,31,moist_mean,gam
wet_effect,1.130497649655455,0.32799339618001744,perm_rmse,KIL,31,moist_mean,gam
pisr_summer_10m,0.0034826275389689076,0.0038646246007400967,perm_r2,KIL,32,moist_mean,lm
twi_luke,0.06755387992744172,0.022228374801184465,perm_r2,KIL,32,moist_mean,lm
dtw_0_5ha,-9.816686368755435e-5,7.856656842438218e-4,perm_r2,KIL,32,moist_mean,lm
tpi20,7.149117129099603e-4,0.001984298971743258,perm_r2,KIL,32,moist_mean,lm
tpi500,9.522335763902212e-4,8.178506290557433e-4,perm_r2,KIL,32,moist_mean,lm
wet_effect,0.15525954753266175,0.022516782538194124,perm_r2,KIL,32,moist_mean,lm
soil_type,0.30113755433555334,0.039691874450990976,perm_r2,KIL,32,moist_mean,lm
pisr_summer_10m,0.04185263069344636,0.024836839515912115,perm_rmse,KIL,32,moist_mean,lm
twi_luke,0.6699590453529691,0.17879289708073115,perm_rmse,KIL,32,moist_mean,lm
dtw_0_5ha,0.003326436315087733,0.0054095082288707795,perm_rmse,KIL,32,moist_mean,lm
tpi20,-0.002148018943089447,0.011747147919874995,perm_rmse,KIL,32,moist_mean,lm
tpi500,-0.0018438912076229387,0.0072226085028636615,perm_rmse,KIL,32,moist_mean,lm
wet_effect,1.337989581905343,0.33067702029044505,perm_rmse,KIL,32,moist_mean,lm
soil_type,2.3868681501285356,0.19925499366241006,perm_rmse,KIL,32,moist_mean,lm
soil_type,0.2816240349862474,0.029369332197515374,perm_r2,KIL,32,moist_mean,gam
pisr_summer_10m,0.00809851184107882,0.005476965780716765,perm_r2,KIL,32,moist_mean,gam
twi_luke,0.07620696621383341,0.017634684854334975,perm_r2,KIL,32,moist_mean,gam
dtw_0_5ha,-5.5242550503520337e-5,7.819311745734508e-4,perm_r2,KIL,32,moist_mean,gam
tpi20,0.003909217132111109,0.0038679247431218406,perm_r2,KIL,32,moist_mean,gam
tpi500,0.022078521115635668,0.010748267654163115,perm_r2,KIL,32,moist_mean,gam
wet_effect,0.1774644898454018,0.032636055509238836,perm_r2,KIL,32,moist_mean,gam
soil_type,2.3963201345024094,0.5107327740500944,perm_rmse,KIL,32,moist_mean,gam
pisr_summer_10m,0.07004206325059173,0.051432994380917973,perm_rmse,KIL,32,moist_mean,gam
twi_luke,0.6639319788306703,0.17914590950125164,perm_rmse,KIL,32,moist_mean,gam
dtw_0_5ha,7.629304482630773e-4,0.006028423613867838,perm_rmse,KIL,32,moist_mean,gam
tpi20,0.03913170340986376,0.03377005591899649,perm_rmse,KIL,32,moist_mean,gam
tpi500,0.19599664879082662,0.07988932821264241,perm_rmse,KIL,32,moist_mean,gam
wet_effect,1.693132581814088,0.21499544039562316,perm_rmse,KIL,32,moist_mean,gam
pisr_summer_10m,0.006458944210312167,0.006825912325795082,perm_r2,KIL,33,moist_mean,lm
twi_luke,0.10348175986797528,0.019453201524983987,perm_r2,KIL,33,moist_mean,lm
dtw_0_5ha,0.011904534825826995,0.007085135720084258,perm_r2,KIL,33,moist_mean,lm
tpi20,0.0020158638860849286,0.0023579984257290744,perm_r2,KIL,33,moist_mean,lm
tpi500,0.0016334672611890365,0.0025398657015084977,perm_r2,KIL,33,moist_mean,lm
wet_effect,0.1798015139657186,0.025850873551553587,perm_r2,KIL,33,moist_mean,lm
soil_type,0.3054189122900115,0.021621645147117338,perm_r2,KIL,33,moist_mean,lm
pisr_summer_10m,0.039943004459302676,0.05526648428319256,perm_rmse,KIL,33,moist_mean,lm
twi_luke,0.7373948331505389,0.13240562533240716,perm_rmse,KIL,33,moist_mean,lm
dtw_0_5ha,0.11544815827436761,0.0751226412822963,perm_rmse,KIL,33,moist_mean,lm
tpi20,0.01737014618122057,0.018463739291618306,perm_rmse,KIL,33,moist_mean,lm
tpi500,0.007216355326714208,0.0123431882492621,perm_rmse,KIL,33,moist_mean,lm
