term,estimate,std.error,statistic,p.value,area,week,resp,pred,model
(Intercept),21.088332081756715,4.6763074009736245,4.509612023659105,4.185776515073889e-5,TII,40,moist_mean,swi,lm
swi,1.8106159918797926,0.363082648069597,4.986787447723823,8.432625262210536e-6,TII,40,moist_mean,swi,lm
(Intercept),9.025957912461314,5.71127124791379,1.5803763331602068,0.12058866282490734,TII,41,moist_mean,twi_luke,lm
twi_luke,4.303863649382461,0.6684219903376357,6.438842096156169,5.337750349450554e-8,TII,41,moist_mean,twi_luke,lm
(Intercept),50.67674011938218,1.991650076164231,25.444600296946636,1.6206475953023472e-29,TII,41,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-11.220605736430247,2.2320651143371593,-5.0270064544072905,7.352737288368095e-6,TII,41,moist_mean,dtw_0_5ha,lm
(Intercept),25.017646610208278,4.3937562604745795,5.6939086119233355,7.332478006153469e-7,TII,41,moist_mean,swi,lm
swi,1.635916889158169,0.3411445230682084,4.795377848792501,1.6124287664843223e-5,TII,41,moist_mean,swi,lm
(Intercept),10.160956999030574,5.587584500242514,1.8184882928552697,0.0752319272175127,TII,42,moist_mean,twi_luke,lm
twi_luke,4.192134135778491,0.6539462390612413,6.410517998844096,5.8992669659659844e-8,TII,42,moist_mean,twi_luke,lm
(Intercept),50.724716928842454,1.947961635226419,26.039895248217515,5.7479683875673564e-30,TII,42,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-10.918652014475542,2.183102976819068,-5.001437005223075,8.022302018340056e-6,TII,42,moist_mean,dtw_0_5ha,lm
(Intercept),25.74245543690068,4.295237107437521,5.993255970043124,2.5674900096424806e-7,TII,42,moist_mean,swi,lm
swi,1.5930342113873577,0.33349519809807887,4.776783055565485,1.7165954270555526e-5,TII,42,moist_mean,swi,lm
(Intercept),13.443201557893097,5.623093219906139,2.3907129105210694,0.020786452256523168,TII,43,moist_mean,twi_luke,lm
twi_luke,3.99478385088302,0.6581020229562141,6.070158898673994,1.958965219055641e-7,TII,43,moist_mean,twi_luke,lm
(Intercept),52.21495160966408,1.9223075341415552,27.162642127905777,8.597276252766361e-31,TII,43,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-10.622468974659537,2.154352131097472,-4.9307022846113044,1.0203568868862029e-5,TII,43,moist_mean,dtw_0_5ha,lm
(Intercept),28.0261022915252,4.249033220469716,6.595877423718285,3.0650055060480476e-8,TII,43,moist_mean,swi,lm
swi,1.5401622851530294,0.3299077885903364,4.668462941520694,2.4684889189410595e-5,TII,43,moist_mean,swi,lm
(Intercept),10.072291371455686,5.787991178608944,1.7402050315281248,0.0888137337863858,TII,44,moist_mean,twi_luke,lm
twi_luke,4.4202233228035634,0.6810761233915159,6.4900576763613875,6.415788186232522e-8,TII,44,moist_mean,twi_luke,lm
(Intercept),53.13448544156569,2.069525452716757,25.674719473400877,4.087827412853134e-28,TII,44,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-11.658474250170066,2.226827518336518,-5.235463525652479,4.4142642828407014e-6,TII,44,moist_mean,dtw_0_5ha,lm
(Intercept),23.827731345133646,4.348045748061228,5.48010134340429,1.9478144383960047e-6,TII,44,moist_mean,swi,lm
swi,1.9563392471804837,0.3511290066722947,5.571568312515737,1.4325820467677735e-6,TII,44,moist_mean,swi,lm
(Intercept),9.046727498320127,5.912487424033778,1.5301051570183335,0.13299075392685278,TII,20,moist_mean,twi_luke,lm
twi_luke,4.62844583528435,0.6828266719806966,6.778361222853925,2.1736062044943555e-8,TII,20,moist_mean,twi_luke,lm
(Intercept),54.53931031067313,1.9465371416135286,28.018633266593753,3.9994971456592094e-30,TII,20,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-13.468682825371742,2.2925903701951698,-5.8748754249653174,4.78726545287221e-7,TII,20,moist_mean,dtw_0_5ha,lm
(Intercept),22.73450934210643,4.282903060161448,5.30820077474493,3.2756565812937207e-6,TII,20,moist_mean,swi,lm
swi,2.0486591157192895,0.32617946550716614,6.280772802585516,1.1945959825056392e-7,TII,20,moist_mean,swi,lm
(Intercept),9.69304094695928,6.147799706759447,1.576668305621908,0.12316158079873263,TII,19,moist_mean,twi_luke,lm
twi_luke,4.638756391767046,0.7257845766239083,6.391368101737421,1.656151923186824e-7,TII,19,moist_mean,twi_luke,lm
(Intercept),54.224576808715895,2.1888917609095686,24.772616799554996,4.685655541292424e-25,TII,19,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-12.308993017333218,2.426107740099118,-5.073555808708783,1.0548744570328456e-5,TII,19,moist_mean,dtw_0_5ha,lm
(Intercept),23.7784097841616,4.4031971606711116,5.400260064788338,3.7808421457115976e-6,TII,19,moist_mean,swi,lm
swi,1.9444777263256525,0.33221903856795315,5.852999077679056,9.057675242799835e-7,TII,19,moist_mean,swi,lm
(Intercept),5.939617308852647,5.909450412764275,1.0051048564555534,0.32215984920170365,PIS,19,moist_mean,twi_luke,lm
twi_luke,4.095653145793429,0.8535676420201808,4.798276017235195,3.3384212500518095e-5,PIS,19,moist_mean,twi_luke,lm
(Intercept),41.61500716746313,2.682694973540821,15.512388690443082,1.0180811209392564e-16,PIS,19,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.8287860792433592,0.40796636945536974,-4.4826883198356935,8.395361620097385e-5,PIS,19,moist_mean,dtw_0_5ha,lm
(Intercept),11.865662608099369,4.110961457385975,2.8863473255826517,0.0068233323055887215,PIS,19,moist_mean,swi,lm
swi,3.032142609081112,0.5396971789081002,5.6182294953174585,2.9730721176393535e-6,PIS,19,moist_mean,swi,lm
(Intercept),10.073455512258604,5.481676144896728,1.837659731437561,0.07336668791081741,PIS,20,moist_mean,twi_luke,lm
twi_luke,3.212950557844899,0.7786446657911278,4.126337338457766,1.7585248260282204e-4,PIS,20,moist_mean,twi_luke,lm
(Intercept),40.93471234868156,2.376972052469447,17.221368802445237,2.2392179396983368e-20,PIS,20,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.924596896973554,0.34690828105617444,-5.547855159623319,1.8982354030168565e-6,PIS,20,moist_mean,dtw_0_5ha,lm
(Intercept),12.035355264153736,3.9640194805236177,3.03614937395917,0.004152352207870683,PIS,20,moist_mean,swi,lm
swi,2.733731856997339,0.507952637729454,5.381863689530403,3.2596242871419015e-6,PIS,20,moist_mean,swi,lm
(Intercept),7.601663095365373,5.203890668798797,1.4607653348566696,0.1510273735167767,PIS,21,moist_mean,twi_luke,lm
twi_luke,3.120426666508687,0.7324734153593165,4.260122758145365,1.0285221800434094e-4,PIS,21,moist_mean,twi_luke,lm
(Intercept),37.534717591935774,2.29416023806874,16.36098340869733,1.4541071826635124e-20,PIS,21,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.7754952647037128,0.3272831253612623,-5.424952058691941,2.208854645281001e-6,PIS,21,moist_mean,dtw_0_5ha,lm
(Intercept),8.811540393293281,3.7026319404496335,2.3798045647019515,0.021620548477778986,PIS,21,moist_mean,swi,lm
swi,2.793219034387161,0.47741679110388024,5.8506929090799185,5.199040221253545e-7,PIS,21,moist_mean,swi,lm
(Intercept),2.9003042630369724,4.789674992114074,0.605532581607762,0.5477382593540752,PIS,22,moist_mean,twi_luke,lm
twi_luke,3.3771706417064897,0.6610358088504905,5.108907258109401,5.815312311092667e-6,PIS,22,moist_mean,twi_luke,lm
(Intercept),35.8986370320786,2.22829952954999,16.110328327057722,9.117873891138864e-21,PIS,22,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.9751467604264663,0.3161379148154323,-6.247737673539085,1.1339965760400835e-7,PIS,22,moist_mean,dtw_0_5ha,lm
(Intercept),4.124696469165545,3.4630549880408665,1.1910571687165108,0.23961160995630348,PIS,22,moist_mean,swi,lm
swi,3.0422937837884216,0.4396653599489763,6.9195666998680165,1.0824891051067554e-8,PIS,22,moist_mean,swi,lm
(Intercept),-0.5149396612944661,4.8132312258917445,-0.10698419359628075,0.9152568879642581,PIS,23,moist_mean,twi_luke,lm
twi_luke,3.563764930668867,0.6642868674451406,5.364798109550429,2.4264063369458833e-6,PIS,23,moist_mean,twi_luke,lm
(Intercept),34.26717665863341,2.2264809754229447,15.390734094246632,5.584263837455829e-20,PIS,23,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-2.0765388805735694,0.31587990914694875,-6.573823850277082,3.6262610475819626e-8,PIS,23,moist_mean,dtw_0_5ha,lm
(Intercept),0.7680838071095317,3.4248762135243536,0.2242661513068639,0.8235223029357321,PIS,23,moist_mean,swi,lm
swi,3.2116493794630827,0.43481822795188674,7.386188464524206,2.1277220285167844e-9,PIS,23,moist_mean,swi,lm
(Intercept),-2.438065543627702,4.830186591712891,-0.5047559752268513,0.6160887829140289,PIS,24,moist_mean,twi_luke,lm
twi_luke,3.6581644993065643,0.6666269226635828,5.487573896190626,1.5907244060627504e-6,PIS,24,moist_mean,twi_luke,lm
(Intercept),33.054003140676784,2.265679516025024,14.58900206621796,4.505258252546475e-19,PIS,24,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-2.090059892234712,0.32144116548857354,-6.502153789350321,4.659425025533672e-8,PIS,24,moist_mean,dtw_0_5ha,lm
(Intercept),-1.1073668327614488,3.4122216365567315,-0.3245295736061539,0.7469771621518013,PIS,24,moist_mean,swi,lm
swi,3.294803451367931,0.43321161784702694,7.605528835404806,9.93816278248321e-10,PIS,24,moist_mean,swi,lm
(Intercept),-5.211223863053574,4.679163039916041,-1.1137085454383056,0.2710675548244632,PIS,25,moist_mean,twi_luke,lm
twi_luke,3.7565615100292646,0.6457837598431675,5.817057881637607,5.086621621001505e-7,PIS,25,moist_mean,twi_luke,lm
(Intercept),30.671511915489173,2.2831125593883663,13.434077872930587,1.0421809316804159e-17,PIS,25,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-2.035593323461338,0.32391446223557196,-6.284354546605333,9.978132362063964e-8,PIS,25,moist_mean,dtw_0_5ha,lm
(Intercept),-3.5992156696346833,3.2781552526033173,-1.097939356830766,0.27782404354807605,PIS,25,moist_mean,swi,lm
swi,3.3490210795322377,0.4161907085165396,8.046842495521847,2.1686641526859754e-10,PIS,25,moist_mean,swi,lm
(Intercept),-8.271410489293775,4.537310087084841,-1.8229766823382445,0.07467104953001853,PIS,26,moist_mean,twi_luke,lm
twi_luke,3.7056417213058364,0.6262062558231685,5.917605719915158,3.5860382634148875e-7,PIS,26,moist_mean,twi_luke,lm
(Intercept),26.63739651944034,2.299105925660171,11.585980542323908,2.2455947195322195e-15,PIS,26,moist_mean,dtw_0_5ha,lm
dtw_0_5ha,-1.9123203449947563,0.32618350613967806,-5.862713193645861,4.340398674458948e-7,PIS,26,moist_mean,dtw_0_5ha,lm
(Intercept),-6.8086034442605925,3.1326990897936895,-2.173398481342486,0.034822880052551464,PIS,26,moist_mean,swi,lm
swi,3.3214718711978923,0.3977237663515031,8.351202900614238,7.657181817906091e-11,PIS,26,moist_mean,swi,lm
(Intercept),6.8032934442956075,4.659464675127563,1.4601019470352252,0.15091462327317418,PIS,27,moist_mean,twi_luke,lm
