r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,loocv_R2,loocv_rmse,area,week,resp,model
0.5581837286279057,0.46755474988491197,10.072781754338513,6.1589983288988295,3.906522189478739e-5,8,-173.99787653471788,367.99575306943575,386.70776317851465,3956.9763585508585,39,48,0.35644049213091067,11.214322019320411,PIS,40,moist_mean,lm
0.6098454407375999,0.5125099795128146,NA,NA,NA,10.384328879169654,-171.01344884794412,365.6213948997566,387.6964184096275,3494.2858994026124,37.61567112083034,48,0.3309994788610312,11.729514033275395,PIS,40,moist_mean,gam
0.5447825491496404,0.4514046105136692,9.588982884680746,5.834167653597982,6.547295284319135e-5,8,-171.63521635653882,363.27043271307764,381.98244282215654,3585.9951177453113,39,48,0.33901292655747595,10.69595897229045,PIS,41,moist_mean,lm
0.6132984456422341,0.5150480491381866,NA,NA,NA,10.52211580442959,-167.72028834228647,359.1900739247191,381.41011554687697,3046.2581857550863,37.47788419557041,48,0.34053332371999595,10.955620900814113,PIS,41,moist_mean,gam
0.5849239357428972,0.4997801276901582,9.024395686230548,6.86983527188012,1.3142985275632754e-5,8,-168.72241885526978,357.44483771053956,376.15684781961846,3176.1489825646045,39,48,0.3896574164144756,10.093771723561769,PIS,42,moist_mean,lm
0.6442849103802042,0.5542047202888873,NA,NA,NA,10.497114767647368,-165.0184582850478,353.76128232813556,375.957810922932,2721.920672542028,37.50288523235263,48,0.37898456208756853,10.450380353803938,PIS,42,moist_mean,gam
0.6085119497332161,0.5282067086528501,8.624473337316324,7.577487366288388,4.6817993039993755e-06,8,-166.54669197736592,353.09338395473185,371.80539406381075,2900.8800734971273,39,48,0.4420657761988567,9.43029935977774,PIS,43,moist_mean,lm
0.662252084986408,0.5769092142296827,NA,NA,NA,10.480506455046262,-163.00296745665574,349.7146499905881,371.89653580055165,2502.6720377811216,37.51949354495374,48,0.43857080124442777,9.656944498156566,PIS,43,moist_mean,gam
0.5881636552875339,0.503684405090105,9.395623757856216,6.962226273469389,1.1452976424633755e-5,8,-170.65741795252876,361.3148359050575,380.0268460141364,3442.8320861684942,39,48,0.3786206757079214,10.682958230595553,PIS,44,moist_mean,lm
0.646674954558069,0.5572219318813543,NA,NA,NA,10.49525816323635,-166.9797153845773,357.6823873385327,379.87759749570483,2953.694638446026,37.50474183676365,48,0.36200073274113514,11.201326168032933,PIS,44,moist_mean,gam
0.7358528996915447,0.6698161246144309,8.86379173006437,11.14307745695121,2.3118283419782954e-7,8,-142.55679847779518,305.11359695559037,322.24931762263344,2514.1377226866407,32,41,0.5683597667209153,10.430685884896945,HYY,18,moist_mean,lm
0.7431247235344842,0.675236203268956,NA,NA,NA,9.361587214938341,-141.98453104364975,305.1910559182754,323.3737638325411,2444.9248991692994,31.63841278506166,41,0.4505757970418192,12.380667133619292,HYY,18,moist_mean,gam
0.6673058673422029,0.5933738378626924,9.852669466603661,9.025937364902719,1.0669954320333198e-6,8,-161.7799134533592,343.5598269067184,361.6264518044216,3494.703442253187,36,45,0.5296290055614618,10.765889836760824,HYY,19,moist_mean,lm
0.6712045424356355,0.5960047732778109,NA,NA,NA,9.190170635901097,-161.51469021591993,343.7178836207781,362.4064549612522,3453.7507715210586,35.8098293640989,45,0.42756160906941193,12.294059144384343,HYY,19,moist_mean,gam
0.516524138450612,0.41473974654547763,12.000596192508281,5.074689043994344,2.4655453189063745e-4,8,-178.4878647433586,376.9757294867172,395.4772055038178,5472.543741074481,38,47,0.3798891162640547,12.501972401452129,HYY,20,moist_mean,lm
