fit_area,week,resp,pred_area,model,loocv_R2,loocv_rmse
VAR,30,moist_mean,PIS,lm,0.12024505364030351,13.394023378402153
VAR,30,moist_mean,HYY,lm,0.3023147490631496,17.77044434186362
VAR,30,moist_mean,KAR,lm,0.10083417721029818,16.004595267486312
VAR,30,moist_mean,VAR,lm,0.42106226498244953,12.585296353119166
VAR,30,moist_mean,KIL,gam,0.16908629280371462,15.137126543796972
VAR,30,moist_mean,TII,gam,0.3595220800868823,11.467026512842077
VAR,30,moist_mean,PIS,gam,0.03780636507592831,14.799797428303396
VAR,30,moist_mean,HYY,gam,0.34541552158879996,16.498043124578697
VAR,30,moist_mean,KAR,gam,0.03222763329297598,16.699301039385663
VAR,30,moist_mean,VAR,gam,0.4319195056547468,12.579915217009999
VAR,31,moist_mean,KIL,lm,0.28306583439028205,14.160782802638048
VAR,31,moist_mean,TII,lm,0.39166503634618405,11.817465996423252
VAR,31,moist_mean,PIS,lm,0.16794743626454553,13.318558045308032
VAR,31,moist_mean,HYY,lm,0.2739723893228142,15.616450442816689
VAR,31,moist_mean,KAR,lm,0.11042092642059952,15.647346837428646
VAR,31,moist_mean,VAR,lm,0.42750003131147923,13.232592987992916
VAR,31,moist_mean,KIL,gam,0.24928225962855421,14.190538438997727
VAR,31,moist_mean,TII,gam,0.3836084649221677,11.987906893660908
VAR,31,moist_mean,PIS,gam,0.0909926834970185,14.173731953302768
VAR,31,moist_mean,HYY,gam,0.3016263408121994,14.739452865279336
VAR,31,moist_mean,KAR,gam,0.05117520421283405,15.837847307112337
VAR,31,moist_mean,VAR,gam,0.4036569882043991,13.738087914965535
VAR,32,moist_mean,KIL,lm,0.28573912180861255,14.775167949761716
VAR,32,moist_mean,TII,lm,0.40932480864025717,12.194467965979293
VAR,32,moist_mean,PIS,lm,0.15220253704320028,13.614120879808945
VAR,32,moist_mean,HYY,lm,0.317234310587374,16.90912435941519
VAR,32,moist_mean,KAR,lm,0.12431221213909205,15.887327508263715
VAR,32,moist_mean,VAR,lm,0.4354642174455879,13.668522476221584
VAR,32,moist_mean,KIL,gam,0.2619138156022552,14.620951823358
VAR,32,moist_mean,TII,gam,0.4002288858523484,12.382506522904908
VAR,32,moist_mean,PIS,gam,0.08179071624076054,14.368225298896789
VAR,32,moist_mean,HYY,gam,0.3476973221720696,15.985460117144958
VAR,32,moist_mean,KAR,gam,0.056587975364785485,16.193312662596473
VAR,32,moist_mean,VAR,gam,0.4090827070696263,14.221324644653546
VAR,33,moist_mean,KIL,lm,0.27667375783753323,13.043300014117854
VAR,33,moist_mean,TII,lm,0.3941603951184367,11.69737369312761
VAR,33,moist_mean,PIS,lm,0.09930857942810237,15.5624393219606
VAR,33,moist_mean,HYY,lm,0.3496400078174809,20.5313273345025
VAR,33,moist_mean,KAR,lm,0.10340778674224683,17.461092996897356
VAR,33,moist_mean,VAR,lm,0.4102780329770776,12.764297301634771
VAR,33,moist_mean,KIL,gam,0.2808299740808118,12.52458422597451
VAR,33,moist_mean,TII,gam,0.3864488405977903,11.806102667909757
VAR,33,moist_mean,PIS,gam,0.041671121733164986,16.563634595971703
VAR,33,moist_mean,HYY,gam,0.38055014883045313,19.605400409270946
VAR,33,moist_mean,KAR,gam,0.04481512770442891,17.958179007798282
VAR,33,moist_mean,VAR,gam,0.374274755081957,13.446607936958928
VAR,34,moist_mean,KIL,lm,0.2503256990662321,13.637614574483763
VAR,34,moist_mean,TII,lm,0.3982580538802983,11.288465475037652
VAR,34,moist_mean,PIS,lm,0.0695040778506828,16.06029993141604
VAR,34,moist_mean,HYY,lm,0.3497255049478515,21.36390013691826
